,AvPrecipitation,AvEvapoTrans,AvGroundWater,AvRunoff,AvStreamFlow,AvPtSrcFlow,AvTileDrain,AvWithdrawal,month,gwlfe_endpoint,huc,huc_level,huc_run,huc_run_level,huc_run_name,huc_run_states,huc_run_areaacres,land_use_source,closest_weather_stations,stream_layer,weather_source
0,6.569250000000001,0.24365302485591767,4.900477113391753,0.7450690721082591,5.645546185500012,0.0,0.0,0.0,1,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
1,6.27725,0.32429898601733737,3.6939946396613808,0.7623239540255511,4.456318593686932,0.0,0.0,0.0,2,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
2,7.702249999999999,1.3877165311274313,5.959624969554801,1.6816449504404631,7.641269919995263,0.0,0.0,0.0,3,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
3,8.410249999999998,4.0041245726100945,6.483099311784629,0.4800233294858739,6.963122641270504,0.0,0.0,0.0,4,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
4,9.486999999999998,8.666920844105217,3.950906928375074,0.026915593133900333,3.9778225215089744,0.0,0.0,0.0,5,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
5,12.386999999999999,12.511964672018593,2.2964018296704554,0.20412913447444453,2.5005309641449,0.0,0.0,0.0,6,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
6,10.925749999999997,12.81043377001701,1.0016855034585308,0.11058703503143061,1.1122725384899614,0.0,0.0,0.0,7,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
7,10.856499999999999,10.268812239485525,0.37405551435747636,0.16350878899278926,0.5375643033502656,0.0,0.0,0.0,8,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
8,9.642750000000001,6.488113811816445,0.6882480525842797,0.3930102153390141,1.0812582679232938,0.0,0.0,0.0,9,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
9,10.371250000000003,3.828486208172735,1.5095269136127938,0.7743245360380806,2.283851449650874,0.0,0.0,0.0,10,gwlfe,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
