,AreaTotal,MeanFlow,MeanFlowPerSecond,gwlfe_endpoint,huc_run,huc_run_level,huc,huc_name,huc_states,huc_areaacres,huc_level,land_use_source,stream_layer,weather_source,closest_weather_stations
0,50887.6,228941503.80560565,7.259687462126004,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
1,8403.6,37053359.726604305,1.1749543292302227,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
2,6477.400000000001,29117023.04959692,0.9232947440891971,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
3,6604.7,29519279.615699768,0.9360502161244219,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
4,7090.299999999999,31461633.502115764,0.9976418538215298,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
5,13455.6,59230098.61731567,1.8781741063329425,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
6,8856.6,39483032.37408486,1.2519987434704738,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
7,65294.80000000001,411369953.55138123,13.0444556554852,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
8,7741.4,43782577.5687707,1.3883364272187564,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
9,7786.499999999999,44101346.9678373,1.3984445385539477,gwlfe,020401010202,12,020401010202,Bagley Brook-West Branch Delaware River,NY,19284.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
10,6477.799999999998,36348075.227383986,1.152589904470573,gwlfe,020401010203,12,020401010203,East Brook,NY,16028.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
11,5741.9,32556593.739639018,1.0323628151838857,gwlfe,020401010204,12,020401010204,Mallory Brook-West Branch Delaware River,NY,14244.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
