,NYrs,NRur,NUrb,NLU,SedDelivRatio,WxYrBeg,WxYrEnd,gwlfe_endpoint,huc_run,huc_run_level,huc,huc_name,huc_states,huc_areaacres,huc_level,land_use_source,stream_layer,weather_source,closest_weather_stations
0,20,10,6,16,0.0703434612780209,2000,2019,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
1,20,10,6,16,0.12029498274614134,2000,2019,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
2,20,10,6,16,0.12991458439736328,2000,2019,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
3,20,10,6,16,0.1293623811840007,2000,2019,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
4,20,10,6,16,0.12663545271078408,2000,2019,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
5,20,10,6,16,0.10452413830075463,2000,2019,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
6,20,10,6,16,0.11847185388107143,2000,2019,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
7,20,10,6,16,0.06486716348572089,2000,2019,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
8,20,10,6,16,0.12333845427637968,2000,2019,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
9,20,10,6,16,0.12310393499575965,2000,2019,gwlfe,020401010202,12,020401010202,Bagley Brook-West Branch Delaware River,NY,19284.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
10,20,10,6,16,0.13007128790299388,2000,2019,gwlfe,020401010203,12,020401010203,East Brook,NY,16028.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
11,20,10,6,16,0.13473077417838333,2000,2019,gwlfe,020401010204,12,020401010204,Mallory Brook-West Branch Delaware River,NY,14244.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
12,20,10,6,16,0.10650542114219391,2000,2019,gwlfe,020401010205,12,020401010205,Beers Brook-West Branch Delaware River,NY,31350.77,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
13,20,10,6,16,0.10619377157090254,2000,2019,gwlfe,020401010206,12,020401010206,Trout Creek,NY,31688.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
14,20,10,6,16,0.10413973634413297,2000,2019,gwlfe,020401010207,12,020401010207,Cannonsville Reservoir-West Branch Delaware River,NY,33805.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
15,20,10,6,16,0.06885593530952076,2000,2019,gwlfe,0204010103,10,0204010103,Lower West Branch Delaware River,"NY,PA",135505.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
16,20,10,6,16,0.12234208951857932,2000,2019,gwlfe,020401010301,12,020401010301,Cold Spring Creek,NY,19689.14,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
17,20,10,6,16,0.11788313695325102,2000,2019,gwlfe,020401010302,12,020401010302,Upper Oquaga Creek,NY,22311.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
18,20,10,6,16,0.12016087754719677,2000,2019,gwlfe,020401010303,12,020401010303,Lower Oquaga Creek,NY,20913.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
19,20,10,6,16,0.13501213730658623,2000,2019,gwlfe,020401010304,12,020401010304,Big Hollow-West Branch Delaware River,NY,14145.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
20,20,10,6,16,0.11602231988242317,2000,2019,gwlfe,020401010305,12,020401010305,Sherman Creek-West Branch Delaware River,"NY,PA",23524.65,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
21,20,10,6,16,0.1433842318934216,2000,2019,gwlfe,020401010306,12,020401010306,Sands Creek,NY,11576.99,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
22,20,10,6,16,0.11628915396699818,2000,2019,gwlfe,020401010307,12,020401010307,Balls Creek-West Branch Delaware River,"NY,PA",23344.47,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
23,20,10,6,16,0.07438386763272717,2000,2019,gwlfe,0204010104,10,0204010104,Equinunk Creek-Delaware River,"NY,PA",104564.64,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
24,20,10,6,16,0.13293779070443537,2000,2019,gwlfe,020401010401,12,020401010401,Upper Equinunk Creek,PA,14899.71,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
25,20,10,6,16,0.11851648215978314,2000,2019,gwlfe,020401010402,12,020401010402,Lower Equinunk Creek,PA,21904.12,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
26,20,10,6,16,0.1348943659659263,2000,2019,gwlfe,020401010403,12,020401010403,Factory Creek-Delaware River,"NY,PA",14186.81,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
27,20,10,6,16,0.134242363152108,2000,2019,gwlfe,020401010404,12,020401010404,Basket Creek,NY,14419.35,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
28,20,10,6,16,0.13002467872540183,2000,2019,gwlfe,020401010405,12,020401010405,Little Equinunk Creek,PA,16049.76,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
29,20,10,6,16,0.11664649517816689,2000,2019,gwlfe,020401010406,12,020401010406,Pea Brook-Delaware River,"NY,PA",23104.89,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
30,20,10,6,16,0.07246974247543164,2000,2019,gwlfe,0204010105,10,0204010105,Callicoon Creek-Delaware River,"NY,PA",114124.33,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
31,20,10,6,16,0.11166154469411475,2000,2019,gwlfe,020401010501,12,020401010501,Hankins Creek-Delaware River,"NY,PA",26751.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
32,20,10,6,16,0.11656309427057629,2000,2019,gwlfe,020401010502,12,020401010502,North Branch Callicoon Creek,NY,23160.41,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
33,20,10,6,16,0.11972439898112279,2000,2019,gwlfe,020401010503,12,020401010503,Upper East Branch Callicoon Creek,NY,21171.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
