,Source,Sediment,TotalN,TotalP,comid,huc,gwlfe_endpoint,huc_level
0,LoadingRateConcentrations,17.456653330874,0.240182569750976,0.0228509295537757,2612780,020401010101,wikiSRAT,12
1,LoadingRateConcentrations,18.3494158341655,0.2911932325124,0.0241130373023212,2612782,020401010101,wikiSRAT,12
2,LoadingRateConcentrations,27.0720726401239,0.443844455389949,0.0420996444945366,2612792,020401010101,wikiSRAT,12
3,LoadingRateConcentrations,19.5190138020333,0.415186172752605,0.0396455689968486,2612794,020401010101,wikiSRAT,12
4,LoadingRateConcentrations,34.7873576706863,0.464016685311736,0.04363136654017,2612920,020401010101,wikiSRAT,12
5,LoadingRateConcentrations,18.1529341895768,0.310210403625615,0.0294525913091325,2612948,020401010101,wikiSRAT,12
6,LoadingRateConcentrations,20.4819371762876,0.308324292925748,0.0261357127380852,2612950,020401010101,wikiSRAT,12
7,LoadingRateConcentrations,20.7434625539461,0.309085421694497,0.0260200726829417,2612952,020401010101,wikiSRAT,12
8,LoadingRateConcentrations,20.3450432890584,0.542634513888639,0.0461228889460475,2612790,020401010102,wikiSRAT,12
9,LoadingRateConcentrations,18.9142960393671,0.358829111353363,0.031324653744225,2612800,020401010102,wikiSRAT,12
10,LoadingRateConcentrations,26.2137181780951,0.498870333604832,0.044479745115868,2612922,020401010102,wikiSRAT,12
11,LoadingRateConcentrations,9.97713410867932,0.1857474474442,0.00937587224958648,2612956,020401010102,wikiSRAT,12
12,LoadingRateConcentrations,17.1707234193272,0.28721256880896,0.0191940643923587,2612958,020401010102,wikiSRAT,12
13,LoadingRateConcentrations,22.8020210596302,0.640345140902431,0.041549173532643,2612808,020401010103,wikiSRAT,12
14,LoadingRateConcentrations,25.2079678110313,0.526643738576684,0.0433719741854492,2612924,020401010103,wikiSRAT,12
15,LoadingRateConcentrations,14.8658871815548,0.553627786658837,0.0275659245483756,2612926,020401010103,wikiSRAT,12
16,LoadingRateConcentrations,20.3520067136181,0.420333788459117,0.0296000735209786,2612796,020401010104,wikiSRAT,12
17,LoadingRateConcentrations,20.3033955493193,0.884585085608334,0.0569308506845885,2612798,020401010104,wikiSRAT,12
18,LoadingRateConcentrations,22.4959855951043,0.728529696544957,0.0436626659282865,2612806,020401010104,wikiSRAT,12
19,LoadingRateConcentrations,16.7624477050451,0.559946932198805,0.0366574098551472,2612810,020401010104,wikiSRAT,12
20,LoadingRateConcentrations,22.4815446292789,0.662474456533032,0.0410192338345334,2612820,020401010104,wikiSRAT,12
21,LoadingRateConcentrations,22.6424285585397,0.660558431712886,0.0413735821553695,2612928,020401010104,wikiSRAT,12
